Source:,C:\Users\Martin\Practicas-Curso-Kicad\Escobar_Martin\Ejercicio2\Ejercicio2.sch
Date:,1/12/2015 5:00:59 p. m.
Tool:,Eeschema 4.0.0-rc2-stable
Generator:,C:/Users/Martin/Practicas-Curso-Kicad/Escobar_Martin/Ejercicio2/tools/bom_csv_grouped_by_value.py
Component Count:,13

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Digikey
,,C1,C,ej2:C,,,
,,C2,100nF,ej2:C,,,
,,C3,100nF,ej2:C,,,
,,C4,100nF,ej2:C,,,
,,C5,100nF,ej2:C,,,
,,C6,100nF,ej2:C,,,
,,J1,DB9,ej2:DB9,,,S9554-ND
,,JP1,CONN_3,ej2:CONN_3,,,
,,R1,R,ej2:R,,,
,,R2,R,ej2:R,,,
,,U1,AMIS42665TJAA1RG,ej2:AMIS42665TJAA1RG,,,
,,U2,ST232,ej2:ST232,,,1016-1803-1-ND
,,XA1,Conn_Poncho2P_2x_20x2,ej2:Conn_Poncho2P_2x_20x2,,,



Collated Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Digikey
1,1,C1,C,ej2:C,,,
2,5,"C2, C3, C4, C5, C6",100nF,ej2:C,,,
3,1,J1,DB9,ej2:DB9,,,S9554-ND
4,1,JP1,CONN_3,ej2:CONN_3,,,
5,2,"R1, R2",R,ej2:R,,,
6,1,U1,AMIS42665TJAA1RG,ej2:AMIS42665TJAA1RG,,,
7,1,U2,ST232,ej2:ST232,,,1016-1803-1-ND
8,1,XA1,Conn_Poncho2P_2x_20x2,ej2:Conn_Poncho2P_2x_20x2,,,
